OverleafName;GitUrl;LocalFolder;SubFolder
Bicycle paper final proofread;https://git.overleaf.com/6001b8b5965d889824be7119;Pub_SupercycleHighways_TRA;Overleaf_source
LINC - TUPPAC - paper 1;https://git.overleaf.com/600c74fef54132077f5f5c39;Pub_ABM_AVbusses_TRA;Overleaf_source
Bicycle paper_revision2_TRA_Layout;https://git.overleaf.com/5f523b47a445670001e40dc1;Pub_SupercycleHighways_TRA;Overleaf_source
The value of advanced information sharing for EV charging;https://git.overleaf.com/5f9098e6dd0ba9000105559e;Pub_ChargingInformationSharing_OnePlus;Overleaf_source
Pub_Platooning_TRE;https://git.overleaf.com/5f7442efcee2f40001d7beeb;Pub_Platooning_TRE;Overleaf_source
Bicycle paper_revision1_TRA;https://git.overleaf.com/5f32488aa15f6d0001125963;Pub_SupercycleHighways_TRA;Overleaf_source
scalable-population-synthesis (rev1) [clean] (Copy);https://git.overleaf.com/5f3fce3b27bf1500015fd7fd;Pub_ScalablePopSynth_TRC;Overleaf_source
[Reply] SPP Reply 2;https://git.overleaf.com/5f352464f6d1600001e112c7;Pub_PseudoPanel_Stas_Transp;Overleaf_source
[Revision 2] Fast and slow movers? Transportation;https://git.overleaf.com/5f35243ff6d1600001e11219;Pub_PseudoPanel_Stas_Transp;Overleaf_source
Socio-economic performance of bicycle infrastructure: Exploaring Copenhagen supercycle highways;https://git.overleaf.com/5e9ec2329cc4540001f236ab;Pub_BicycleInfra_SocioEconomic_TRB;Overleaf_source
[Reply] SPP Reply 1;https://git.overleaf.com/5e70ee9b0652cc0001e7fad1;Pub_PseudoPanel_Stas_Transp;Overleaf_source
[Revision 1] Fast and slow movers? Transportation;https://git.overleaf.com/5e71e8b99f8849000116e31f;Pub_PseudoPanel_Stas_Transp;Overleaf_source
[Revision 1] [CLEAN] Fast and slow movers? Transportation;https://git.overleaf.com/5ec941b76bb66f0001bb709b;Pub_PseudoPanel_Stas_Transp;Overleaf_source
Zeros paper revision;https://git.overleaf.com/5e0de22f7979160001df0a19;Pub_Popsynth_Zero_TRC;Overleaf_source
Estimating causal effects with deep auto regressive networks;https://git.overleaf.com/5ddf9a2477d4600001a9496e;Pub_CausalInference_TBA;Overleaf_source
A micro-model of car ownership dynamics_TL_template;https://git.overleaf.com/5d518c317dc70b3d3f4aeedb;Pub_MicroModel_CarOwner_EL;Overleaf_source
scalable-population-synthesis (rev1) [clean];https://git.overleaf.com/5cc2f82761491f0afa72a999;;Overleaf_source
Platooning;https://git.overleaf.com/5a6094efd2ea6e0da68a9286;Pub_Platooning_TRE;Overleaf_source
[reply 1] scalable-population-synthesis;https://git.overleaf.com/5c61755aeb66283e2cbaab9a;Pub_ScalablePopSynth_TRC;Overleaf_source
scalable-population-synthesis (rev1);https://git.overleaf.com/5c6417355c69b22db00bb929;Pub_ScalablePopSynth_TRC;Overleaf_source
Introducing super pseudo panels;https://git.overleaf.com/5b9248d55fab05113fd84c48;Pub_PseudoPanel_Stas_Transp;Overleaf_source
scalable-population-synthesis;https://git.overleaf.com/5b6c36997d5c325e3b107ec3;Pub_ScalablePopSynth_TRC;Overleaf_source
